id;name;date_created;description;active;continue_on_click;language;hide_timer;timer_location;skip_button_location;hide_all_ui;hide_play_button;hide_skip_button;fraud;brand_safety;network_id;ad_tag_url;width;height;duration;whitelist_keywords;serve_on_unmeasurable;is_branded;private_brand_safety
269;"11 Fabreze";"2018-07-31 07:09:06";;1;0;JP;0;bottom;middle_right;0;0;0;1;1;130;https://bs.serving-sys.com/Serving?cn=display&c=23&pl=VAST&pli=25772246&PluID=0&pos=8916&ord=[timestamp]&cim=1&dspu=$$%%TTD_TDID%%$$;640;480;18;NULL;1;1;1
270;"12 Fabreze";"2018-07-31 07:10:15";;1;0;JP;0;bottom;middle_right;0;0;0;1;1;130;https://bs.serving-sys.com/Serving?cn=display&c=23&pl=VAST&pli=25772247&PluID=0&pos=3062&ord=[timestamp]&cim=1&dspu=$$%%TTD_TDID%%$$;640;480;18;NULL;1;1;1
271;"13 Fabreze";"2018-07-31 07:10:45";;1;0;JP;0;bottom;middle_right;0;0;0;1;1;130;https://bs.serving-sys.com/Serving?cn=display&c=23&pl=VAST&pli=25772248&PluID=0&pos=1982&ord=[timestamp]&cim=1&dspu=$$%%TTD_TDID%%$$;640;480;18;NULL;1;1;1
272;"14 Fabreze";"2018-07-31 07:11:16";;1;0;JP;0;bottom;middle_right;0;0;0;1;1;130;https://bs.serving-sys.com/Serving?cn=display&c=23&pl=VAST&pli=25772249&PluID=0&pos=902&ord=[timestamp]&cim=1&dspu=$$%%TTD_TDID%%$$;640;480;18;NULL;1;1;1
273;"15 Fabreze";"2018-07-31 07:13:31";;1;0;JP;0;bottom;middle_right;0;0;0;1;1;130;https://bs.serving-sys.com/Serving?cn=display&c=23&pl=VAST&pli=25772250&PluID=0&pos=5918&ord=[timestamp]&cim=1&dspu=$$%%TTD_TDID%%$$;640;480;18;NULL;1;1;1
274;InApp_Video_Test_DBM;"2018-07-31 09:16:05";;1;0;EN;0;bottom;middle_right;0;0;0;1;1;98;NULL;300;250;18;NULL;1;1;1
308;Test_PNG_TAG_UI;"2018-08-27 16:29:35";;1;0;JP;0;bottom;middle_right;1;0;0;0;1;98;https://bs.serving-sys.com/Serving?cn=display&c=23&pl=VAST&pli=25490269&PluID=0&pos=347&ord=[timestamp]&cim=1&dspu=$$%%TTD_TDID%%$$;640;480;18;NULL;1;1;1
311;en_coc;"2018-08-28 09:54:34";;1;1;EN;0;bottom;middle_right;0;0;0;1;1;82;https://www.adonating.biz/vid/v2l.xml;300;250;23;NULL;1;1;1
313;en_hidetimer;"2018-08-28 15:13:39";;1;0;EN;1;bottom;middle_right;0;0;0;0;1;82;https://www.adonating.biz/vid/v2l.xml;300;250;23;NULL;1;1;1
314;en_hideplay;"2018-08-28 15:14:52";;1;0;EN;0;bottom;middle_right;0;1;0;0;1;82;https://www.adonating.biz/vid/v2l.xml;300;250;23;NULL;1;1;1
315;en_hideskip;"2018-08-28 15:20:30";;1;0;EN;0;bottom;middle_right;0;0;1;0;1;82;https://www.adonating.biz/vid/v2l.xml;300;250;23;NULL;1;1;1
316;jp_viewall;"2018-08-28 15:22:58";;1;0;JP;0;bottom;middle_right;0;0;0;0;1;82;https://www.adonating.biz/vid/v2l.xml;300;250;23;NULL;1;1;1
317;jp_hideui;"2018-08-28 15:26:26";;1;0;EN;0;bottom;middle_right;1;0;0;0;1;82;https://www.adonating.biz/vid/v2l.xml;300;250;23;NULL;1;1;1
